"Velocity:0","Velocity:1","Velocity:2","Points:0","Points:1","Points:2"
0,0,0,0,0,0
0,0,0,2.8,0,0
0,0,0,2.8,0,2.8
0,0,0,0,0,2.8
0,0,0,2.8,0,1.03
0,0,0,2.8,0,1.77
0,0,0,2.9,0,1.77
0,0,0,2.9,0,1.03
0,0,0,2.9,0,0
0,0,0,2.9,0,2.8
0,0,0,5,0,0
0,0,0,5,0,2.8
0,0,0,0,0,1.4
0,0,0,0,0,2.1
0,0,0,0,0,0.7
0,0,0,0,0,2.45
0,0,0,0,0,1.75
0,0,0,0,0,1.05
0,0,0,0,0,0.35
0,0,0,0,0,2.625
0,0,0,0,0,2.275
0,0,0,0,0,1.925
0,0,0,0,0,1.575
0,0,0,0,0,1.225
0,0,0,0,0,0.875
0,0,0,0,0,0.525
0,0,0,0,0,0.175
0,0,0,0,0,2.0125
0,0,0,0,0,1.8375
0,0,0,0,0,1.6625
0,0,0,0,0,1.4875
0,0,0,0,0,1.3125
0,0,0,0,0,1.1375
0,0,0,0,0,0.9625
0,0,0,0,0,0.7875
0,0,0,0,0,1.5313
0,0,0,0,0,1.4438
0,0,0,0,0,1.3563
0,0,0,0,0,1.2687
0,0,0,1.4,0,2.8
0,0,0,0.7,0,2.8
0,0,0,2.1,0,2.8
0,0,0,0.35,0,2.8
0,0,0,1.05,0,2.8
0,0,0,1.75,0,2.8
0,0,0,2.45,0,2.8
0,0,0,0.175,0,2.8
0,0,0,0.525,0,2.8
0,0,0,0.875,0,2.8
0,0,0,1.225,0,2.8
0,0,0,1.575,0,2.8
0,0,0,1.925,0,2.8
0,0,0,2.275,0,2.8
0,0,0,2.625,0,2.8
0,0,0,1.4,0,0
0,0,0,0.7,0,0
0,0,0,2.1,0,0
0,0,0,0.35,0,0
0,0,0,1.05,0,0
0,0,0,1.75,0,0
0,0,0,2.45,0,0
0,0,0,0.175,0,0
0,0,0,0.525,0,0
0,0,0,0.875,0,0
0,0,0,1.225,0,0
0,0,0,1.575,0,0
0,0,0,1.925,0,0
0,0,0,2.275,0,0
0,0,0,2.625,0,0
0,0,0,2.8,0,2.285
0,0,0,2.8,0,2.5425
0,0,0,2.8,0,2.0275
0,0,0,2.8,0,2.6712
0,0,0,2.8,0,2.4137
0,0,0,2.8,0,2.1563
0,0,0,2.8,0,1.8987
0,0,0,2.8,0,2.0919
0,0,0,2.8,0,1.9631
0,0,0,2.8,0,1.8344
0,0,0,2.8,0,0.515
0,0,0,2.8,0,0.7725
0,0,0,2.8,0,0.2575
0,0,0,2.8,0,0.90125
0,0,0,2.8,0,0.64375
0,0,0,2.8,0,0.38625
0,0,0,2.8,0,0.12875
0,0,0,2.8,0,0.96562
0,0,0,2.8,0,0.83687
0,0,0,2.8,0,0.70812
0,0,0,2.85,0,1.77
0,0,0,2.85,0,1.03
0,0,0,3.95,0,2.8
0,0,0,3.425,0,2.8
0,0,0,4.475,0,2.8
0,0,0,3.1625,0,2.8
0,0,0,3.6875,0,2.8
0,0,0,4.2125,0,2.8
0,0,0,4.7375,0,2.8
0,0,0,5,0,1.4
0,0,0,5,0,2.1
0,0,0,5,0,0.7
0,0,0,5,0,2.45
0,0,0,5,0,1.75
0,0,0,5,0,1.05
0,0,0,5,0,0.35
0,0,0,3.95,0,0
0,0,0,4.475,0,0
0,0,0,3.425,0,0
0,0,0,4.7375,0,0
0,0,0,4.2125,0,0
0,0,0,3.6875,0,0
0,0,0,3.1625,0,0
0,0,0,2.9,0,2.285
0,0,0,2.9,0,2.5425
0,0,0,2.9,0,2.0275
0,0,0,2.9,0,2.6712
0,0,0,2.9,0,2.4137
0,0,0,2.9,0,2.1563
0,0,0,2.9,0,1.8987
0,0,0,2.9,0,2.0919
0,0,0,2.9,0,1.9631
0,0,0,2.9,0,1.8344
0,0,0,2.9,0,0.515
0,0,0,2.9,0,0.7725
0,0,0,2.9,0,0.2575
0,0,0,2.9,0,0.90125
0,0,0,2.9,0,0.64375
0,0,0,2.9,0,0.38625
0,0,0,2.9,0,0.12875
0,0,0,2.9,0,0.96562
0,0,0,2.9,0,0.83687
0,0,0,2.9,0,0.70812
0,0,0,3.0313,0,0
0,0.0033123,0,1.1,0,1.1
-0,0.0033123,0,1.1,0,1.7
0,0.0033123,-0,1.7,0,1.1
0,0.0033123,0,1.7,0,1.7
0,0,0,2.8,0,1.4
0,0,0,2.8,0,1.585
0,0,0,2.8,0,1.215
0,0,0,2.8,0,1.6775
0,0,0,2.8,0,1.4925
0,0,0,2.8,0,1.3075
0,0,0,2.8,0,1.1225
0,0,0,2.8,0,1.7237
0,0,0,2.8,0,1.6313
0,0,0,2.8,0,1.5387
0,0,0,2.8,0,1.4462
0,0,0,2.8,0,1.3537
0,0,0,2.8,0,1.2613
0,0,0,2.8,0,1.1687
0,0,0,2.8,0,1.0762
0,0,0,2.9,0,1.4
0,0,0,2.9,0,1.585
0,0,0,2.9,0,1.215
0,0,0,2.9,0,1.6775
0,0,0,2.9,0,1.4925
0,0,0,2.9,0,1.3075
0,0,0,2.9,0,1.1225
0,0,0,2.9,0,1.7237
0,0,0,2.9,0,1.6313
0,0,0,2.9,0,1.5387
0,0,0,2.9,0,1.4462
0,0,0,2.9,0,1.3537
0,0,0,2.9,0,1.2613
0,0,0,2.9,0,1.1687
0,0,0,2.9,0,1.0762
0,0.0033123,0,1.7,0,1.4
0,0.0033123,0,1.7,0,1.55
0,0.0033123,0,1.7,0,1.25
-0,0.0033123,0,1.7,0,1.625
0,0.0033123,0,1.7,0,1.475
0,0.0033123,0,1.7,0,1.325
0,0.0033123,0,1.7,0,1.175
0,0.0033123,0,1.7,0,1.6625
0,0.0033123,0,1.7,0,1.5875
-0,0.0033123,0,1.7,0,1.5125
-0,0.0033123,0,1.7,0,1.4375
-0,0.0033123,0,1.7,0,1.3625
0,0.0033123,0,1.7,0,1.2875
0,0.0033123,0,1.7,0,1.2125
0,0.0033123,0,1.7,0,1.1375
0,0.0033123,0,1.4,0,1.1
0,0.0033123,0,1.25,0,1.1
0,0.0033123,0,1.55,0,1.1
0,0.0033123,0,1.175,0,1.1
0,0.0033123,0,1.325,0,1.1
0,0.0033123,0,1.475,0,1.1
0,0.0033123,0,1.625,0,1.1
0,0.0033123,0,1.1375,0,1.1
0,0.0033123,0,1.2125,0,1.1
0,0.0033123,0,1.2875,0,1.1
0,0.0033123,0,1.3625,0,1.1
0,0.0033123,0,1.4375,0,1.1
0,0.0033123,0,1.5125,0,1.1
0,0.0033123,0,1.5875,0,1.1
0,0.0033123,-0,1.6625,0,1.1
0,0.0033123,0,1.1,0,1.4
0,0.0033123,0,1.1,0,1.55
0,0.0033123,0,1.1,0,1.25
0,0.0033123,0,1.1,0,1.625
0,0.0033123,0,1.1,0,1.475
0,0.0033123,0,1.1,0,1.325
0,0.0033123,0,1.1,0,1.175
0,0.0033123,0,1.1,0,1.6625
0,0.0033123,0,1.1,0,1.5875
0,0.0033123,0,1.1,0,1.5125
0,0.0033123,0,1.1,0,1.4375
0,0.0033123,0,1.1,0,1.3625
0,0.0033123,0,1.1,0,1.2875
0,0.0033123,0,1.1,0,1.2125
0,0.0033123,0,1.1,0,1.1375
0,0.0033123,0,1.4,0,1.7
0,0.0033123,0,1.55,0,1.7
0,0.0033123,0,1.25,0,1.7
0,0.0033123,0,1.625,0,1.7
0,0.0033123,0,1.475,0,1.7
0,0.0033123,-0,1.325,0,1.7
0,0.0033123,-0,1.175,0,1.7
0,0.0033123,0,1.6625,0,1.7
0,0.0033123,0,1.5875,0,1.7
0,0.0033123,0,1.5125,0,1.7
0,0.0033123,0,1.4375,0,1.7
0,0.0033123,0,1.3625,0,1.7
0,0.0033123,0,1.2875,0,1.7
0,0.0033123,0,1.2125,0,1.7
0,0.0033123,0,1.1375,0,1.7
0,0,0,3.2516,0,0.64314
0,0,0,3.3688,0,0.1807
0,0,0,3.1434,0,0.51176
0,0,0,4.6314,0,0.56388
0,0,0,3.0584,0,0.34782
0,0,0,4.7093,0,2.1932
0,0,0,4.3312,0,2.5197
0,0,0,4.644,0,0.24749
0,0,0,4.3715,0,0.3153
0,0,0,3.6182,0,1.4661
0,0,0,3.4918,0,0.31518
0,0,0,3.6561,0,1.2754
0,0,0,3.6235,0,1.7526
0,0,0,3.9528,0,2.1614
0,0,0,3.2809,0,2.1345
0,0,0,4.3407,0,1.2004
0,0,0,3.6387,0,1.0316
0,0,0,3.6101,0,1.3841
0,0,0,4.3423,0,1.6052
0,0,0,3.6288,0,1.6416
0,0,0,3.9532,0,0.63791
0,0,0,3.6232,0,1.1557
0,0,0,3.1458,0,2.2427
0,0,0,3.1478,0,2.3531
0,0,0,3.062,0,2.4169
0,0,0,3.5243,0,2.4877
0,0,0,3.3449,0,2.6135
0,0,0,3.0964,0,2.6491
0,0,0,3.1105,0,1.017
0,0,0,3.0078,0,0.79302
0,0,0,2.9893,0,0.64166
0,0,0,4.7546,0,1.5523
0,0,0,4.0391,0,1.3955
0,0,0,4.3048,0,1.9874
0,0,0,3.1294,0,1.6264
0,0,0,3.198,0,0.23902
0,0,0,3.2587,0,0.89617
0,0,0,3.518,0,0.49969
0,0,0,4.1324,0,0.29165
0,0,0,3.1141,0,1.401
0,0,0,3.025,0,1.9664
0,0,0,3.0054,0,0.48317
0,0,0,3.0039,0,0.72181
0,0,0,3.2439,0,1.8733
0,0,0,4.367,0,0.80644
0,0,0,3.1319,0,1.1769
0,0,0,4.3436,0,0.57642
0,0,0,3.1206,0,1.5154
0,0,0,3.7738,0,1.1444
0,0,0,3.3709,0,1.5729
0,0,0,4.7488,0,1.2494
0,0,0,3.3698,0,1.2188
0,0,0,3.3908,0,1.7183
0,0,0,3.1098,0,1.7272
0,0,0,3.1125,0,1.323
0,0,0,3.1223,0,1.0963
0,0,0,3.3903,0,1.0932
0,0,0,2.9943,0,2.11
0,0,0,3.0153,0,2.5289
0,0,0,3.0295,0,2.3183
0,0,0,3.7672,0,1.6599
0,0,0,3.3667,0,1.3332
0,0,0,4.6764,0,0.93639
